t,N,N_norm,lambda
0,100,1,0.01
1,99,0.99,0.01
2,99,0.99,0.01
3,98,0.98,0.01
4,97,0.97,0.01
5,94,0.94,0.01
6,92,0.92,0.01
7,91,0.91,0.01
8,91,0.91,0.01
9,91,0.91,0.01
10,91,0.91,0.01
11,91,0.91,0.01
12,90,0.9,0.01
13,90,0.9,0.01
14,88,0.88,0.01
15,87,0.87,0.01
16,86,0.86,0.01
17,86,0.86,0.01
18,86,0.86,0.01
19,84,0.84,0.01
20,83,0.83,0.01
21,81,0.81,0.01
22,80,0.8,0.01
23,80,0.8,0.01
24,79,0.79,0.01
25,79,0.79,0.01
26,78,0.78,0.01
27,78,0.78,0.01
28,78,0.78,0.01
29,78,0.78,0.01
30,78,0.78,0.01
31,78,0.78,0.01
32,78,0.78,0.01
33,78,0.78,0.01
34,76,0.76,0.01
35,75,0.75,0.01
36,74,0.74,0.01
37,74,0.74,0.01
38,73,0.73,0.01
39,72,0.72,0.01
40,71,0.71,0.01
41,68,0.68,0.01
42,67,0.67,0.01
43,66,0.66,0.01
44,66,0.66,0.01
45,65,0.65,0.01
46,65,0.65,0.01
47,65,0.65,0.01
48,65,0.65,0.01
49,64,0.64,0.01
50,63,0.63,0.01
51,63,0.63,0.01
52,63,0.63,0.01
53,61,0.61,0.01
54,59,0.59,0.01
55,59,0.59,0.01
56,59,0.59,0.01
57,58,0.58,0.01
58,58,0.58,0.01
59,58,0.58,0.01
60,58,0.58,0.01
61,58,0.58,0.01
62,58,0.58,0.01
63,55,0.55,0.01
64,55,0.55,0.01
65,55,0.55,0.01
66,55,0.55,0.01
67,54,0.54,0.01
68,53,0.53,0.01
69,53,0.53,0.01
70,53,0.53,0.01
71,53,0.53,0.01
72,53,0.53,0.01
73,53,0.53,0.01
74,52,0.52,0.01
75,52,0.52,0.01
76,52,0.52,0.01
77,52,0.52,0.01
78,52,0.52,0.01
79,51,0.51,0.01
80,51,0.51,0.01
81,51,0.51,0.01
82,51,0.51,0.01
83,51,0.51,0.01
84,50,0.5,0.01
85,50,0.5,0.01
86,50,0.5,0.01
87,49,0.49,0.01
88,49,0.49,0.01
89,49,0.49,0.01
90,48,0.48,0.01
91,48,0.48,0.01
92,48,0.48,0.01
93,46,0.46,0.01
94,46,0.46,0.01
95,46,0.46,0.01
96,44,0.44,0.01
97,44,0.44,0.01
98,44,0.44,0.01
99,44,0.44,0.01
100,44,0.44,0.01
101,43,0.43,0.01
102,42,0.42,0.01
103,41,0.41,0.01
104,41,0.41,0.01
105,41,0.41,0.01
106,41,0.41,0.01
107,41,0.41,0.01
108,41,0.41,0.01
109,41,0.41,0.01
110,40,0.4,0.01
111,39,0.39,0.01
112,38,0.38,0.01
113,38,0.38,0.01
114,38,0.38,0.01
115,38,0.38,0.01
116,38,0.38,0.01
117,38,0.38,0.01
118,37,0.37,0.01
119,37,0.37,0.01
120,37,0.37,0.01
121,37,0.37,0.01
122,37,0.37,0.01
123,36,0.36,0.01
124,35,0.35,0.01
125,35,0.35,0.01
126,35,0.35,0.01
127,35,0.35,0.01
128,33,0.33,0.01
129,32,0.32,0.01
130,32,0.32,0.01
131,32,0.32,0.01
132,30,0.3,0.01
133,30,0.3,0.01
134,30,0.3,0.01
135,30,0.3,0.01
136,30,0.3,0.01
137,30,0.3,0.01
138,30,0.3,0.01
139,30,0.3,0.01
140,30,0.3,0.01
141,29,0.29,0.01
142,29,0.29,0.01
143,29,0.29,0.01
144,29,0.29,0.01
145,29,0.29,0.01
146,28,0.28,0.01
147,28,0.28,0.01
148,27,0.27,0.01
149,26,0.26,0.01
150,26,0.26,0.01
151,26,0.26,0.01
152,26,0.26,0.01
153,25,0.25,0.01
154,25,0.25,0.01
155,25,0.25,0.01
156,25,0.25,0.01
157,25,0.25,0.01
158,24,0.24,0.01
159,24,0.24,0.01
160,24,0.24,0.01
161,24,0.24,0.01
162,23,0.23,0.01
163,23,0.23,0.01
164,23,0.23,0.01
165,23,0.23,0.01
166,21,0.21,0.01
167,21,0.21,0.01
168,21,0.21,0.01
169,21,0.21,0.01
170,20,0.2,0.01
171,19,0.19,0.01
172,19,0.19,0.01
173,18,0.18,0.01
174,18,0.18,0.01
175,18,0.18,0.01
176,18,0.18,0.01
177,17,0.17,0.01
178,17,0.17,0.01
179,16,0.16,0.01
180,16,0.16,0.01
181,16,0.16,0.01
182,16,0.16,0.01
183,16,0.16,0.01
184,16,0.16,0.01
185,16,0.16,0.01
186,16,0.16,0.01
187,16,0.16,0.01
188,16,0.16,0.01
189,16,0.16,0.01
190,16,0.16,0.01
191,16,0.16,0.01
192,16,0.16,0.01
193,16,0.16,0.01
194,16,0.16,0.01
195,16,0.16,0.01
196,16,0.16,0.01
197,16,0.16,0.01
198,16,0.16,0.01
199,16,0.16,0.01
200,15,0.15,0.01
201,15,0.15,0.01
202,14,0.14,0.01
203,14,0.14,0.01
204,13,0.13,0.01
205,13,0.13,0.01
206,13,0.13,0.01
207,13,0.13,0.01
208,13,0.13,0.01
209,13,0.13,0.01
210,13,0.13,0.01
211,13,0.13,0.01
212,13,0.13,0.01
213,13,0.13,0.01
214,12,0.12,0.01
215,12,0.12,0.01
216,12,0.12,0.01
217,12,0.12,0.01
218,12,0.12,0.01
219,12,0.12,0.01
220,12,0.12,0.01
221,11,0.11,0.01
222,11,0.11,0.01
223,11,0.11,0.01
224,11,0.11,0.01
225,11,0.11,0.01
226,11,0.11,0.01
227,11,0.11,0.01
228,11,0.11,0.01
229,11,0.11,0.01
230,11,0.11,0.01
231,11,0.11,0.01
232,11,0.11,0.01
233,11,0.11,0.01
234,11,0.11,0.01
235,11,0.11,0.01
236,11,0.11,0.01
237,11,0.11,0.01
238,11,0.11,0.01
239,9,0.09,0.01
240,9,0.09,0.01
241,9,0.09,0.01
242,9,0.09,0.01
243,9,0.09,0.01
244,9,0.09,0.01
245,8,0.08,0.01
246,8,0.08,0.01
247,8,0.08,0.01
248,8,0.08,0.01
249,8,0.08,0.01
250,8,0.08,0.01
251,8,0.08,0.01
252,8,0.08,0.01
253,8,0.08,0.01
254,8,0.08,0.01
255,8,0.08,0.01
256,8,0.08,0.01
257,8,0.08,0.01
258,8,0.08,0.01
259,8,0.08,0.01
260,8,0.08,0.01
261,8,0.08,0.01
262,8,0.08,0.01
263,8,0.08,0.01
264,8,0.08,0.01
265,8,0.08,0.01
266,8,0.08,0.01
267,8,0.08,0.01
268,8,0.08,0.01
269,8,0.08,0.01
270,7,0.07,0.01
271,7,0.07,0.01
272,7,0.07,0.01
273,7,0.07,0.01
274,7,0.07,0.01
275,7,0.07,0.01
276,7,0.07,0.01
277,7,0.07,0.01
278,6,0.06,0.01
279,6,0.06,0.01
280,6,0.06,0.01
281,6,0.06,0.01
282,6,0.06,0.01
283,6,0.06,0.01
284,6,0.06,0.01
285,6,0.06,0.01
286,6,0.06,0.01
287,6,0.06,0.01
288,6,0.06,0.01
289,6,0.06,0.01
290,6,0.06,0.01
291,6,0.06,0.01
292,5,0.05,0.01
293,5,0.05,0.01
294,5,0.05,0.01
295,5,0.05,0.01
296,5,0.05,0.01
297,5,0.05,0.01
298,5,0.05,0.01
299,4,0.04,0.01
300,4,0.04,0.01
301,4,0.04,0.01
302,4,0.04,0.01
303,4,0.04,0.01
304,4,0.04,0.01
305,4,0.04,0.01
306,4,0.04,0.01
307,4,0.04,0.01
308,4,0.04,0.01
309,4,0.04,0.01
310,4,0.04,0.01
311,4,0.04,0.01
312,4,0.04,0.01
313,4,0.04,0.01
314,4,0.04,0.01
315,4,0.04,0.01
316,4,0.04,0.01
317,4,0.04,0.01
318,4,0.04,0.01
319,4,0.04,0.01
320,4,0.04,0.01
321,4,0.04,0.01
322,4,0.04,0.01
323,4,0.04,0.01
324,4,0.04,0.01
325,4,0.04,0.01
326,4,0.04,0.01
327,4,0.04,0.01
328,3,0.03,0.01
329,3,0.03,0.01
330,3,0.03,0.01
331,3,0.03,0.01
332,3,0.03,0.01
333,3,0.03,0.01
334,3,0.03,0.01
335,3,0.03,0.01
336,3,0.03,0.01
337,3,0.03,0.01
338,3,0.03,0.01
339,3,0.03,0.01
340,3,0.03,0.01
341,3,0.03,0.01
342,3,0.03,0.01
343,3,0.03,0.01
344,3,0.03,0.01
345,3,0.03,0.01
346,3,0.03,0.01
347,3,0.03,0.01
348,3,0.03,0.01
349,3,0.03,0.01
350,3,0.03,0.01
351,3,0.03,0.01
352,3,0.03,0.01
353,3,0.03,0.01
354,3,0.03,0.01
355,3,0.03,0.01
356,3,0.03,0.01
357,3,0.03,0.01
358,3,0.03,0.01
359,3,0.03,0.01
360,3,0.03,0.01
361,3,0.03,0.01
362,3,0.03,0.01
363,3,0.03,0.01
364,2,0.02,0.01
365,2,0.02,0.01
366,2,0.02,0.01
367,2,0.02,0.01
368,2,0.02,0.01
369,2,0.02,0.01
370,2,0.02,0.01
371,2,0.02,0.01
372,2,0.02,0.01
373,2,0.02,0.01
374,2,0.02,0.01
375,2,0.02,0.01
376,2,0.02,0.01
377,2,0.02,0.01
378,2,0.02,0.01
379,2,0.02,0.01
380,2,0.02,0.01
381,2,0.02,0.01
382,2,0.02,0.01
383,2,0.02,0.01
384,2,0.02,0.01
385,2,0.02,0.01
386,2,0.02,0.01
387,2,0.02,0.01
388,2,0.02,0.01
389,2,0.02,0.01
390,2,0.02,0.01
391,2,0.02,0.01
392,2,0.02,0.01
393,2,0.02,0.01
394,2,0.02,0.01
395,2,0.02,0.01
396,2,0.02,0.01
397,2,0.02,0.01
398,2,0.02,0.01
399,2,0.02,0.01
400,2,0.02,0.01
401,2,0.02,0.01
402,2,0.02,0.01
403,2,0.02,0.01
404,2,0.02,0.01
405,2,0.02,0.01
406,2,0.02,0.01
407,2,0.02,0.01
408,2,0.02,0.01
409,2,0.02,0.01
410,2,0.02,0.01
411,2,0.02,0.01
412,2,0.02,0.01
413,2,0.02,0.01
414,2,0.02,0.01
415,2,0.02,0.01
416,2,0.02,0.01
417,2,0.02,0.01
418,2,0.02,0.01
419,2,0.02,0.01
420,2,0.02,0.01
421,2,0.02,0.01
422,2,0.02,0.01
423,2,0.02,0.01
424,2,0.02,0.01
425,2,0.02,0.01
426,2,0.02,0.01
427,2,0.02,0.01
428,2,0.02,0.01
429,2,0.02,0.01
430,2,0.02,0.01
431,2,0.02,0.01
432,2,0.02,0.01
433,2,0.02,0.01
434,2,0.02,0.01
435,2,0.02,0.01
436,2,0.02,0.01
437,2,0.02,0.01
438,2,0.02,0.01
439,2,0.02,0.01
440,2,0.02,0.01
441,2,0.02,0.01
442,2,0.02,0.01
443,2,0.02,0.01
444,2,0.02,0.01
445,2,0.02,0.01
446,2,0.02,0.01
447,2,0.02,0.01
448,2,0.02,0.01
449,1,0.01,0.01
450,1,0.01,0.01
451,1,0.01,0.01
452,1,0.01,0.01
453,1,0.01,0.01
454,1,0.01,0.01
455,1,0.01,0.01
456,1,0.01,0.01
457,1,0.01,0.01
458,1,0.01,0.01
459,1,0.01,0.01
460,1,0.01,0.01
461,1,0.01,0.01
462,1,0.01,0.01
463,1,0.01,0.01
464,1,0.01,0.01
465,1,0.01,0.01
466,1,0.01,0.01
467,1,0.01,0.01
468,1,0.01,0.01
469,1,0.01,0.01
470,1,0.01,0.01
471,1,0.01,0.01
472,1,0.01,0.01
473,1,0.01,0.01
474,1,0.01,0.01
475,1,0.01,0.01
476,1,0.01,0.01
477,1,0.01,0.01
478,1,0.01,0.01
479,1,0.01,0.01
480,1,0.01,0.01
481,1,0.01,0.01
482,1,0.01,0.01
483,1,0.01,0.01
484,1,0.01,0.01
485,1,0.01,0.01
486,1,0.01,0.01
487,1,0.01,0.01
488,1,0.01,0.01
489,1,0.01,0.01
490,1,0.01,0.01
491,1,0.01,0.01
492,1,0.01,0.01
493,1,0.01,0.01
494,1,0.01,0.01
495,1,0.01,0.01
496,1,0.01,0.01
497,1,0.01,0.01
498,1,0.01,0.01
499,1,0.01,0.01
500,1,0.01,0.01
501,0,0,0.01
