x,phi,k
0,0,3.14159
0.01,0.00999836,3.14159
0.02,0.0199868,3.14159
0.03,0.0299556,3.14159
0.04,0.0398948,3.14159
0.05,0.0497946,3.14159
0.06,0.0596453,3.14159
0.07,0.0694371,3.14159
0.08,0.0791604,3.14159
0.09,0.0888056,3.14159
0.1,0.0983632,3.14159
0.11,0.107824,3.14159
0.12,0.117178,3.14159
0.13,0.126416,3.14159
0.14,0.13553,3.14159
0.15,0.14451,3.14159
0.16,0.153347,3.14159
0.17,0.162033,3.14159
0.18,0.170559,3.14159
0.19,0.178917,3.14159
0.2,0.187098,3.14159
0.21,0.195094,3.14159
0.22,0.202898,3.14159
0.23,0.210502,3.14159
0.24,0.217898,3.14159
0.25,0.225079,3.14159
0.26,0.232038,3.14159
0.27,0.238768,3.14159
0.28,0.245262,3.14159
0.29,0.251514,3.14159
0.3,0.257518,3.14159
0.31,0.263268,3.14159
0.32,0.268758,3.14159
0.33,0.273983,3.14159
0.34,0.278937,3.14159
0.35,0.283616,3.14159
0.36,0.288015,3.14159
0.37,0.29213,3.14159
0.38,0.295957,3.14159
0.39,0.299492,3.14159
0.4,0.302731,3.14159
0.41,0.305671,3.14159
0.42,0.30831,3.14159
0.43,0.310644,3.14159
0.44,0.312672,3.14159
0.45,0.314391,3.14159
0.46,0.3158,3.14159
0.47,0.316897,3.14159
0.48,0.317682,3.14159
0.49,0.318153,3.14159
0.5,0.31831,3.14159
0.51,0.318153,3.14159
0.52,0.317682,3.14159
0.53,0.316897,3.14159
0.54,0.3158,3.14159
0.55,0.314391,3.14159
0.56,0.312672,3.14159
0.57,0.310644,3.14159
0.58,0.30831,3.14159
0.59,0.305671,3.14159
0.6,0.302731,3.14159
0.61,0.299492,3.14159
0.62,0.295957,3.14159
0.63,0.29213,3.14159
0.64,0.288015,3.14159
0.65,0.283616,3.14159
0.66,0.278937,3.14159
0.67,0.273983,3.14159
0.68,0.268758,3.14159
0.69,0.263268,3.14159
0.7,0.257518,3.14159
0.71,0.251514,3.14159
0.72,0.245262,3.14159
0.73,0.238768,3.14159
0.74,0.232038,3.14159
0.75,0.225079,3.14159
0.76,0.217898,3.14159
0.77,0.210502,3.14159
0.78,0.202898,3.14159
0.79,0.195094,3.14159
0.8,0.187098,3.14159
0.81,0.178917,3.14159
0.82,0.170559,3.14159
0.83,0.162033,3.14159
0.84,0.153347,3.14159
0.85,0.14451,3.14159
0.86,0.13553,3.14159
0.87,0.126416,3.14159
0.88,0.117178,3.14159
0.89,0.107824,3.14159
0.9,0.0983632,3.14159
0.91,0.0888056,3.14159
0.92,0.0791604,3.14159
0.93,0.0694371,3.14159
0.94,0.0596453,3.14159
0.95,0.0497946,3.14159
0.96,0.0398948,3.14159
0.97,0.0299556,3.14159
0.98,0.0199868,3.14159
0.99,0.00999835,3.14159
1,-5.17887e-10,3.14159
0,0,6.28319
0.01,0.00999342,6.28319
0.02,0.0199474,6.28319
0.03,0.0298227,6.28319
0.04,0.0395802,6.28319
0.05,0.0491816,6.28319
0.06,0.0585888,6.28319
0.07,0.0677649,6.28319
0.08,0.0766735,6.28319
0.09,0.0852795,6.28319
0.1,0.0935489,6.28319
0.11,0.101449,6.28319
0.12,0.108949,6.28319
0.13,0.116019,6.28319
0.14,0.122631,6.28319
0.15,0.128759,6.28319
0.16,0.134379,6.28319
0.17,0.139469,6.28319
0.18,0.144008,6.28319
0.19,0.147979,6.28319
0.2,0.151365,6.28319
0.21,0.154155,6.28319
0.22,0.156336,6.28319
0.23,0.1579,6.28319
0.24,0.158841,6.28319
0.25,0.159155,6.28319
0.26,0.158841,6.28319
0.27,0.1579,6.28319
0.28,0.156336,6.28319
0.29,0.154155,6.28319
0.3,0.151365,6.28319
0.31,0.147979,6.28319
0.32,0.144008,6.28319
0.33,0.139469,6.28319
0.34,0.134379,6.28319
0.35,0.128759,6.28319
0.36,0.122631,6.28319
0.37,0.116019,6.28319
0.38,0.108949,6.28319
0.39,0.101449,6.28319
0.4,0.0935489,6.28319
0.41,0.0852795,6.28319
0.42,0.0766735,6.28319
0.43,0.0677649,6.28319
0.44,0.0585888,6.28319
0.45,0.0491816,6.28319
0.46,0.0395802,6.28319
0.47,0.0298227,6.28319
0.48,0.0199474,6.28319
0.49,0.00999342,6.28319
0.5,-2.58937e-10,6.28319
0.51,-0.00999342,6.28319
0.52,-0.0199474,6.28319
0.53,-0.0298227,6.28319
0.54,-0.0395802,6.28319
0.55,-0.0491816,6.28319
0.56,-0.0585888,6.28319
0.57,-0.0677649,6.28319
0.58,-0.0766735,6.28319
0.59,-0.0852795,6.28319
0.6,-0.0935489,6.28319
0.61,-0.101449,6.28319
0.62,-0.108949,6.28319
0.63,-0.116019,6.28319
0.64,-0.122631,6.28319
0.65,-0.128759,6.28319
0.66,-0.134379,6.28319
0.67,-0.139469,6.28319
0.68,-0.144008,6.28319
0.69,-0.147979,6.28319
0.7,-0.151365,6.28319
0.71,-0.154155,6.28319
0.72,-0.156336,6.28319
0.73,-0.1579,6.28319
0.74,-0.158841,6.28319
0.75,-0.159155,6.28319
0.76,-0.158841,6.28319
0.77,-0.1579,6.28319
0.78,-0.156336,6.28319
0.79,-0.154155,6.28319
0.8,-0.151365,6.28319
0.81,-0.147978,6.28319
0.82,-0.144008,6.28319
0.83,-0.139469,6.28319
0.84,-0.134379,6.28319
0.85,-0.128759,6.28319
0.86,-0.122631,6.28319
0.87,-0.116019,6.28319
0.88,-0.108949,6.28319
0.89,-0.101449,6.28319
0.9,-0.0935489,6.28319
0.91,-0.0852795,6.28319
0.92,-0.0766735,6.28319
0.93,-0.0677649,6.28319
0.94,-0.0585888,6.28319
0.95,-0.0491816,6.28319
0.96,-0.0395802,6.28319
0.97,-0.0298227,6.28319
0.98,-0.0199474,6.28319
0.99,-0.00999342,6.28319
1,5.17874e-10,6.28319
0,0,9.42478
0.01,0.0099852,9.42478
0.02,0.0198818,9.42478
0.03,0.0296019,9.42478
0.04,0.0390592,9.42478
0.05,0.0481699,9.42478
0.06,0.0568529,9.42478
0.07,0.0650314,9.42478
0.08,0.0726327,9.42478
0.09,0.0795892,9.42478
0.1,0.0858393,9.42478
0.11,0.0913275,9.42478
0.12,0.0960051,9.42478
0.13,0.0998305,9.42478
0.14,0.10277,9.42478
0.15,0.104797,9.42478
0.16,0.105894,9.42478
0.17,0.106051,9.42478
0.18,0.105267,9.42478
0.19,0.103548,9.42478
0.2,0.10091,9.42478
0.21,0.0973767,9.42478
0.22,0.092979,9.42478
0.23,0.0877559,9.42478
0.24,0.0817539,9.42478
0.25,0.0750263,9.42478
0.26,0.0676327,9.42478
0.27,0.0596389,9.42478
0.28,0.0511156,9.42478
0.29,0.0421387,9.42478
0.3,0.0327877,9.42478
0.31,0.0231457,9.42478
0.32,0.0132983,9.42478
0.33,0.00333278,9.42478
0.34,-0.00666228,9.42478
0.35,-0.0165982,9.42478
0.36,-0.0263868,9.42478
0.37,-0.0359412,9.42478
0.38,-0.0451765,9.42478
0.39,-0.0540109,9.42478
0.4,-0.0623659,9.42478
0.41,-0.0701673,9.42478
0.42,-0.0773459,9.42478
0.43,-0.083838,9.42478
0.44,-0.0895859,9.42478
0.45,-0.0945386,9.42478
0.46,-0.0986523,9.42478
0.47,-0.10189,9.42478
0.48,-0.104224,9.42478
0.49,-0.105632,9.42478
0.5,-0.106103,9.42478
0.51,-0.105632,9.42478
0.52,-0.104224,9.42478
0.53,-0.10189,9.42478
0.54,-0.0986523,9.42478
0.55,-0.0945386,9.42478
0.56,-0.0895859,9.42478
0.57,-0.083838,9.42478
0.58,-0.0773459,9.42478
0.59,-0.0701673,9.42478
0.6,-0.0623659,9.42478
0.61,-0.0540109,9.42478
0.62,-0.0451765,9.42478
0.63,-0.0359412,9.42478
0.64,-0.0263868,9.42478
0.65,-0.0165982,9.42478
0.66,-0.00666227,9.42478
0.67,0.00333278,9.42478
0.68,0.0132983,9.42478
0.69,0.0231457,9.42478
0.7,0.0327877,9.42478
0.71,0.0421387,9.42478
0.72,0.0511156,9.42478
0.73,0.0596388,9.42478
0.74,0.0676327,9.42478
0.75,0.0750263,9.42478
0.76,0.0817539,9.42478
0.77,0.0877559,9.42478
0.78,0.0929789,9.42478
0.79,0.0973767,9.42478
0.8,0.10091,9.42478
0.81,0.103548,9.42478
0.82,0.105267,9.42478
0.83,0.106051,9.42478
0.84,0.105894,9.42478
0.85,0.104797,9.42478
0.86,0.10277,9.42478
0.87,0.0998304,9.42478
0.88,0.096005,9.42478
0.89,0.0913275,9.42478
0.9,0.0858393,9.42478
0.91,0.0795892,9.42478
0.92,0.0726326,9.42478
0.93,0.0650314,9.42478
0.94,0.0568529,9.42478
0.95,0.0481698,9.42478
0.96,0.0390592,9.42478
0.97,0.0296018,9.42478
0.98,0.0198818,9.42478
0.99,0.00998519,9.42478
1,2.90131e-10,9.42478
0,0,12.5664
0.01,0.00997368,12.5664
0.02,0.0197901,12.5664
0.03,0.0292944,12.5664
0.04,0.0383367,12.5664
0.05,0.0467744,12.5664
0.06,0.0544744,12.5664
0.07,0.0613154,12.5664
0.08,0.0671893,12.5664
0.09,0.0720037,12.5664
0.1,0.0756825,12.5664
0.11,0.0781678,12.5664
0.12,0.0794203,12.5664
0.13,0.0794203,12.5664
0.14,0.0781677,12.5664
0.15,0.0756825,12.5664
0.16,0.0720037,12.5664
0.17,0.0671893,12.5664
0.18,0.0613153,12.5664
0.19,0.0544744,12.5664
0.2,0.0467743,12.5664
0.21,0.0383366,12.5664
0.22,0.0292943,12.5664
0.23,0.0197901,12.5664
0.24,0.00997367,12.5664
0.25,-6.60234e-11,12.5664
0.26,-0.00997367,12.5664
0.27,-0.0197901,12.5664
0.28,-0.0292943,12.5664
0.29,-0.0383366,12.5664
0.3,-0.0467743,12.5664
0.31,-0.0544744,12.5664
0.32,-0.0613153,12.5664
0.33,-0.0671893,12.5664
0.34,-0.0720036,12.5664
0.35,-0.0756824,12.5664
0.36,-0.0781677,12.5664
0.37,-0.0794202,12.5664
0.38,-0.0794202,12.5664
0.39,-0.0781677,12.5664
0.4,-0.0756824,12.5664
0.41,-0.0720036,12.5664
0.42,-0.0671893,12.5664
0.43,-0.0613153,12.5664
0.44,-0.0544743,12.5664
0.45,-0.0467743,12.5664
0.46,-0.0383366,12.5664
0.47,-0.0292943,12.5664
0.48,-0.01979,12.5664
0.49,-0.00997367,12.5664
0.5,1.32047e-10,12.5664
0.51,0.00997367,12.5664
0.52,0.01979,12.5664
0.53,0.0292943,12.5664
0.54,0.0383366,12.5664
0.55,0.0467743,12.5664
0.56,0.0544743,12.5664
0.57,0.0613153,12.5664
0.58,0.0671892,12.5664
0.59,0.0720036,12.5664
0.6,0.0756824,12.5664
0.61,0.0781676,12.5664
0.62,0.0794201,12.5664
0.63,0.0794201,12.5664
0.64,0.0781676,12.5664
0.65,0.0756824,12.5664
0.66,0.0720036,12.5664
0.67,0.0671892,12.5664
0.68,0.0613153,12.5664
0.69,0.0544743,12.5664
0.7,0.0467743,12.5664
0.71,0.0383366,12.5664
0.72,0.0292943,12.5664
0.73,0.01979,12.5664
0.74,0.00997366,12.5664
0.75,-1.9807e-10,12.5664
0.76,-0.00997366,12.5664
0.77,-0.01979,12.5664
0.78,-0.0292943,12.5664
0.79,-0.0383366,12.5664
0.8,-0.0467743,12.5664
0.81,-0.0544743,12.5664
0.82,-0.0613152,12.5664
0.83,-0.0671892,12.5664
0.84,-0.0720035,12.5664
0.85,-0.0756823,12.5664
0.86,-0.0781676,12.5664
0.87,-0.0794201,12.5664
0.88,-0.0794201,12.5664
0.89,-0.0781676,12.5664
0.9,-0.0756823,12.5664
0.91,-0.0720035,12.5664
0.92,-0.0671892,12.5664
0.93,-0.0613152,12.5664
0.94,-0.0544743,12.5664
0.95,-0.0467742,12.5664
0.96,-0.0383366,12.5664
0.97,-0.0292943,12.5664
0.98,-0.01979,12.5664
0.99,-0.00997365,12.5664
1,2.64093e-10,12.5664
0,0,15.708
0.01,0.00995888,15.708
0.02,0.0196725,15.708
0.03,0.0289018,15.708
0.04,0.0374194,15.708
0.05,0.0450156,15.708
0.06,0.0515033,15.708
0.07,0.0567229,15.708
0.08,0.0605458,15.708
0.09,0.0628778,15.708
0.1,0.0636616,15.708
0.11,0.0628778,15.708
0.12,0.0605458,15.708
0.13,0.0567229,15.708
0.14,0.0515033,15.708
0.15,0.0450155,15.708
0.16,0.0374193,15.708
0.17,0.0289017,15.708
0.18,0.0196725,15.708
0.19,0.00995886,15.708
0.2,-4.74524e-11,15.708
0.21,-0.00995886,15.708
0.22,-0.0196725,15.708
0.23,-0.0289017,15.708
0.24,-0.0374193,15.708
0.25,-0.0450155,15.708
0.26,-0.0515032,15.708
0.27,-0.0567228,15.708
0.28,-0.0605457,15.708
0.29,-0.0628777,15.708
0.3,-0.0636615,15.708
0.31,-0.0628777,15.708
0.32,-0.0605456,15.708
0.33,-0.0567228,15.708
0.34,-0.0515032,15.708
0.35,-0.0450154,15.708
0.36,-0.0374192,15.708
0.37,-0.0289017,15.708
0.38,-0.0196725,15.708
0.39,-0.00995884,15.708
0.4,9.49046e-11,15.708
0.41,0.00995883,15.708
0.42,0.0196724,15.708
0.43,0.0289017,15.708
0.44,0.0374192,15.708
0.45,0.0450154,15.708
0.46,0.0515031,15.708
0.47,0.0567227,15.708
0.48,0.0605455,15.708
0.49,0.0628776,15.708
0.5,0.0636613,15.708
0.51,0.0628775,15.708
0.52,0.0605455,15.708
0.53,0.0567226,15.708
0.54,0.0515031,15.708
0.55,0.0450153,15.708
0.56,0.0374192,15.708
0.57,0.0289016,15.708
0.58,0.0196724,15.708
0.59,0.00995882,15.708
0.6,-1.42357e-10,15.708
0.61,-0.00995881,15.708
0.62,-0.0196724,15.708
0.63,-0.0289016,15.708
0.64,-0.0374191,15.708
0.65,-0.0450153,15.708
0.66,-0.051503,15.708
0.67,-0.0567226,15.708
0.68,-0.0605454,15.708
0.69,-0.0628774,15.708
0.7,-0.0636612,15.708
0.71,-0.0628774,15.708
0.72,-0.0605454,15.708
0.73,-0.0567225,15.708
0.74,-0.051503,15.708
0.75,-0.0450152,15.708
0.76,-0.0374191,15.708
0.77,-0.0289016,15.708
0.78,-0.0196724,15.708
0.79,-0.0099588,15.708
0.8,1.89808e-10,15.708
0.81,0.00995879,15.708
0.82,0.0196724,15.708
0.83,0.0289015,15.708
0.84,0.0374191,15.708
0.85,0.0450152,15.708
0.86,0.0515029,15.708
0.87,0.0567224,15.708
0.88,0.0605453,15.708
0.89,0.0628773,15.708
0.9,0.0636611,15.708
0.91,0.0628773,15.708
0.92,0.0605453,15.708
0.93,0.0567224,15.708
0.94,0.0515029,15.708
0.95,0.0450151,15.708
0.96,0.037419,15.708
0.97,0.0289015,15.708
0.98,0.0196723,15.708
0.99,0.00995877,15.708
1,-2.3726e-10,15.708
0,0,18.8498
0.01,0.00994078,18.8498
0.02,0.0195294,18.8498
0.03,0.0284262,18.8498
0.04,0.0363159,18.8498
0.05,0.0429192,18.8498
0.06,0.048002,18.8498
0.07,0.0513843,18.8498
0.08,0.0529463,18.8498
0.09,0.0526326,18.8498
0.1,0.0504544,18.8498
0.11,0.0464889,18.8498
0.12,0.0408764,18.8498
0.13,0.0338159,18.8498
0.14,0.0255574,18.8498
0.15,0.0163936,18.8498
0.16,0.00664903,18.8498
0.17,-0.00333109,18.8498
0.18,-0.0131932,18.8498
0.19,-0.0225879,18.8498
0.2,-0.0311825,18.8498
0.21,-0.0386723,18.8498
0.22,-0.0447922,18.8498
0.23,-0.0493253,18.8498
0.24,-0.052111,18.8498
0.25,-0.0530507,18.8498
0.26,-0.052111,18.8498
0.27,-0.0493252,18.8498
0.28,-0.0447921,18.8498
0.29,-0.0386722,18.8498
0.3,-0.0311824,18.8498
0.31,-0.0225878,18.8498
0.32,-0.0131931,18.8498
0.33,-0.00333107,18.8498
0.34,0.006649,18.8498
0.35,0.0163935,18.8498
0.36,0.0255573,18.8498
0.37,0.0338157,18.8498
0.38,0.0408761,18.8498
0.39,0.0464885,18.8498
0.4,0.050454,18.8498
0.41,0.0526321,18.8498
0.42,0.0529457,18.8498
0.43,0.0513837,18.8498
0.44,0.0480014,18.8498
0.45,0.0429186,18.8498
0.46,0.0363155,18.8498
0.47,0.0284258,18.8498
0.48,0.0195291,18.8498
0.49,0.00994063,18.8498
0.5,7.65219e-11,18.8498
0.51,-0.00994063,18.8498
0.52,-0.0195291,18.8498
0.53,-0.0284257,18.8498
0.54,-0.0363154,18.8498
0.55,-0.0429185,18.8498
0.56,-0.0480012,18.8498
0.57,-0.0513835,18.8498
0.58,-0.0529455,18.8498
0.59,-0.0526318,18.8498
0.6,-0.0504537,18.8498
0.61,-0.0464882,18.8498
0.62,-0.0408758,18.8498
0.63,-0.0338154,18.8498
0.64,-0.0255571,18.8498
0.65,-0.0163934,18.8498
0.66,-0.00664893,18.8498
0.67,0.00333104,18.8498
0.68,0.013193,18.8498
0.69,0.0225876,18.8498
0.7,0.031182,18.8498
0.71,0.0386717,18.8498
0.72,0.0447915,18.8498
0.73,0.0493245,18.8498
0.74,0.0521102,18.8498
0.75,0.0530499,18.8498
0.76,0.0521102,18.8498
0.77,0.0493245,18.8498
0.78,0.0447914,18.8498
0.79,0.0386716,18.8498
0.8,0.0311819,18.8498
0.81,0.0225875,18.8498
0.82,0.0131929,18.8498
0.83,0.00333102,18.8498
0.84,-0.00664889,18.8498
0.85,-0.0163933,18.8498
0.86,-0.0255569,18.8498
0.87,-0.0338151,18.8498
0.88,-0.0408755,18.8498
0.89,-0.0464877,18.8498
0.9,-0.0504532,18.8498
0.91,-0.0526313,18.8498
0.92,-0.0529449,18.8498
0.93,-0.0513829,18.8498
0.94,-0.0480007,18.8498
0.95,-0.042918,18.8498
0.96,-0.0363149,18.8498
0.97,-0.0284253,18.8498
0.98,-0.0195288,18.8498
0.99,-0.00994048,18.8498
1,-1.53041e-10,18.8498
